a,b,theta,E,E_p1,E_p2,E_t,machine_type,status,file_name
3.5,12.9,10,-42.66011022,-0.024868221,-9.961225517,-5.671980686,2,Done,pentacene_theta=10_a=3.5_b=12.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.4,7.1,10,-56.40670824,-3.785031133,-1.034093809,-11.69211459,1,Done,pentacene_theta=10_a=6.4_b=7.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.5,6.7,15,-63.17881875,-5.624340754,-1.071645263,-12.44671168,2,Done,pentacene_theta=15_a=6.5_b=6.7_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.5,13,5,-40.44365454,-0.010264809,-9.002760468,-5.604400997,1,Done,pentacene_theta=5_a=3.5_b=13.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.3,7.5,5,-52.23050118,-2.487910232,-1.054604601,-11.28636788,1,Done,pentacene_theta=5_a=6.3_b=7.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.6,12.9,10,-45.53603875,-0.024868221,-11.20959015,-5.766780504,2,Done,pentacene_theta=10_a=3.6_b=12.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.4,7.2,10,-55.95663798,-3.631143091,-1.034093809,-11.65654105,1,Done,pentacene_theta=10_a=6.4_b=7.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.6,6.7,15,-63.49754865,-5.624340754,-0.974608371,-12.5749126,2,Done,pentacene_theta=15_a=6.6_b=6.7_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.6,13,5,-43.44929943,-0.010264809,-10.32437183,-5.695006538,1,Done,pentacene_theta=5_a=3.6_b=13.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.4,7.3,5,-52.89095169,-2.750269653,-0.948372806,-11.37341669,1,Done,pentacene_theta=5_a=6.4_b=7.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.7,12.9,10,-46.54160596,-0.024868221,-11.58245784,-5.831738457,2,Done,pentacene_theta=10_a=3.7_b=12.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.4,7.3,10,-55.31811895,-3.393983216,-1.034093809,-11.61549122,1,Done,pentacene_theta=10_a=6.4_b=7.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.7,6.7,15,-63.33602255,-5.624340754,-0.890004963,-12.57683278,2,Done,pentacene_theta=15_a=6.7_b=6.7_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.5,7.3,5,-52.62484854,-2.750269653,-0.858391009,-11.3518818,1,Done,pentacene_theta=5_a=6.5_b=7.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.7,13,5,-44.5970742,-0.010265436,-10.77554524,-5.756363211,1,Done,pentacene_theta=5_a=3.7_b=13.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.7,13,10,-45.89084797,-0.023189004,-11.58245784,-5.669888568,2,Done,pentacene_theta=10_a=3.7_b=13.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.5,7.1,10,-56.49028253,-3.785031133,-0.936288846,-11.76191064,1,Done,pentacene_theta=10_a=6.5_b=7.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.5,6.6,15,-63.34827657,-5.594422333,-1.071645263,-12.50403534,2,Done,pentacene_theta=15_a=6.5_b=6.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.7,13.1,5,-43.94800673,-0.009210592,-10.77554524,-5.594623763,1,Done,pentacene_theta=5_a=3.7_b=13.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.3,7.2,5,-52.69447705,-2.719811573,-1.054604601,-11.28641118,1,Done,pentacene_theta=5_a=6.3_b=7.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.7,13.1,10,-45.18705534,-0.02163027,-11.58245784,-5.494719779,2,Done,pentacene_theta=10_a=3.7_b=13.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.6,7.1,10,-56.18131669,-3.785031133,-0.85155366,-11.72703677,1,Done,pentacene_theta=10_a=6.6_b=7.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.6,6.6,15,-63.78133628,-5.594422333,-0.974608371,-12.66081872,2,Done,pentacene_theta=15_a=6.6_b=6.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.6,12.8,10,-46.01441724,-0.02667294,-11.20959015,-5.885472766,2,Done,pentacene_theta=10_a=3.6_b=12.8_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.7,13.2,5,-43.25087826,-0.008241716,-10.77554524,-5.420826084,1,Done,pentacene_theta=5_a=3.7_b=13.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.4,7.2,5,-52.92130936,-2.719811573,-0.948373433,-11.39623484,1,Done,pentacene_theta=5_a=6.4_b=7.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.7,6.6,15,-63.7055657,-5.594422333,-0.890004963,-12.68417778,2,Done,pentacene_theta=15_a=6.7_b=6.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.4,7,10,-56.60579457,-3.824763811,-1.034093809,-11.72201983,1,Done,pentacene_theta=10_a=6.4_b=7.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.7,12.8,10,-47.12613654,-0.02667294,-11.58245784,-5.976968744,2,Done,pentacene_theta=10_a=3.7_b=12.8_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.6,12.9,5,-43.93900823,-0.011406877,-10.32437183,-5.816862705,1,Done,pentacene_theta=5_a=3.6_b=12.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.5,7.2,5,-52.75448709,-2.719811573,-0.858391009,-11.39952048,1,Done,pentacene_theta=5_a=6.5_b=7.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.5,6.5,15,-62.93066992,-5.292506564,-1.071645263,-12.55059157,2,Done,pentacene_theta=15_a=6.5_b=6.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.5,7,10,-56.79783773,-3.824763811,-0.936288846,-11.8189331,1,Done,pentacene_theta=10_a=6.5_b=7.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.8,12.8,10,-47.09639508,-0.02667294,-11.44837527,-6.036574664,2,Done,pentacene_theta=10_a=3.8_b=12.8_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.7,12.9,5,-45.18711809,-0.011406877,-10.77554524,-5.903303463,1,Done,pentacene_theta=5_a=3.7_b=12.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.3,7.1,5,-52.26919846,-2.539358522,-1.054604601,-11.27031805,1,Done,pentacene_theta=5_a=6.3_b=7.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.6,6.5,15,-63.48870452,-5.292506564,-0.974608371,-12.73861866,2,Done,pentacene_theta=15_a=6.6_b=6.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.6,7,10,-56.57416054,-3.824763811,-0.85155366,-11.8053814,1,Done,pentacene_theta=10_a=6.6_b=7.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.8,12.9,10,-46.42041621,-0.024868221,-11.44837527,-5.868482305,2,Done,pentacene_theta=10_a=3.8_b=12.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.8,12.9,5,-45.28218084,-0.011406877,-10.71251312,-5.958585211,1,Done,pentacene_theta=5_a=3.8_b=12.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.4,7.1,5,-52.62497279,-2.539358522,-0.948372806,-11.41237753,1,Done,pentacene_theta=5_a=6.4_b=7.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.7,6.5,15,-63.50643795,-5.292506564,-0.890004963,-12.78535372,2,Done,pentacene_theta=15_a=6.7_b=6.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.4,6.9,10,-56.47596024,-3.711879783,-1.034093809,-11.74600326,1,Done,pentacene_theta=10_a=6.4_b=6.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.8,13,10,-45.69261505,-0.023189004,-11.44837527,-5.687371624,2,Done,pentacene_theta=10_a=3.8_b=13.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.8,13,5,-44.60568741,-0.010264809,-10.71251312,-5.790032887,1,Done,pentacene_theta=5_a=3.8_b=13.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.7,12.7,15,-49.54565697,-0.049175448,-12.71305767,-6.005297683,2,Done,pentacene_theta=15_a=3.7_b=12.7_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.5,7.1,5,-52.56233599,-2.539358522,-0.858391009,-11.44170923,1,Done,pentacene_theta=5_a=6.5_b=7.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.5,6.9,10,-56.7811309,-3.711879783,-0.936288846,-11.87119841,1,Done,pentacene_theta=10_a=6.5_b=6.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.6,12.7,10,-46.39408589,-0.028620731,-11.20959015,-5.979416033,2,Done,pentacene_theta=10_a=3.6_b=12.7_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.6,12.6,15,-48.96480359,-0.05210592,-12.37576101,-6.027267435,2,Done,pentacene_theta=15_a=3.6_b=12.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.8,13.1,5,-43.88293645,-0.009210592,-10.71251312,-5.609872257,1,Done,pentacene_theta=5_a=3.8_b=13.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.6,6.9,10,-56.64648985,-3.711879783,-0.85155366,-11.87990574,1,Done,pentacene_theta=10_a=6.6_b=6.9_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.6,6.4,20,-69.87470938,-7.644571549,-1.157802386,-13.06749038,1,Done,pentacene_theta=20_a=6.6_b=6.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.7,6.5,20,-69.8241371,-7.30297393,-1.057478597,-13.27580801,2,Done,pentacene_theta=20_a=6.7_b=6.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
