cx,cy,cz,a,b,theta,Rt,A2,E,E_i01,E_ip1,E_ip2,E_it1,E_it2,E_it3,E_it4,machine_type,status,file_name
0.0,0.9,11.2,6.0,7.2,65.0,2.2,2.0,-5.333770994329825,-0.747797391959466,-0.1337926621781662,-0.1516679120250046,-2.088731668598484,-0.0615248454851098,-0.0615248454851098,-2.088731668598484,3,Done,anthracene_a=6.0_b=7.2_theta=65.0_Rt=2.2_A2=2.0_cx=0.0_cy=0.9_cz=11.2.log
0.0,0.9,11.3,6.0,7.2,65.0,2.2,2.0,-5.290659801801667,-0.8743824741104618,-0.1233847811818122,-0.1426267479546368,-2.017179213289637,-0.0579536859877407,-0.0579536859877407,-2.017179213289637,3,Done,anthracene_a=6.0_b=7.2_theta=65.0_Rt=2.2_A2=2.0_cx=0.0_cy=0.9_cz=11.3.log
0.0,0.9,11.4,6.0,7.2,65.0,2.2,2.0,-5.165095051168464,-0.9281299606664106,-0.1137098321923986,-0.1340850818669423,-1.9399823055719023,-0.0546027826494537,-0.0546027826494537,-1.9399823055719023,3,Done,anthracene_a=6.0_b=7.2_theta=65.0_Rt=2.2_A2=2.0_cx=0.0_cy=0.9_cz=11.4.log
0.0,1.0,11.2,6.0,7.2,65.0,2.2,2.0,-5.523020479711704,-0.8516189213842154,-0.1293862868333235,-0.1521674097748473,-2.134598256961908,-0.0603256738977506,-0.0603256738977506,-2.134598256961908,3,Done,anthracene_a=6.0_b=7.2_theta=65.0_Rt=2.2_A2=2.0_cx=0.0_cy=1.0_cz=11.2.log
0.0,1.0,11.4,6.0,7.2,65.0,2.2,2.0,-5.331013715011068,-0.9708320162026212,-0.109845625469461,-0.1347389470320195,-2.004152733192313,-0.0536458299611695,-0.0536458299611695,-2.004152733192313,3,Done,anthracene_a=6.0_b=7.2_theta=65.0_Rt=2.2_A2=2.0_cx=0.0_cy=1.0_cz=11.4.log
0.0,1.1,11.2,6.0,7.2,65.0,2.2,2.0,-5.627969017834403,-0.9493987847818062,-0.1249284559162333,-0.152405863860622,-2.141497729404364,-0.0591202272335067,-0.0591202272335067,-2.141497729404364,3,Done,anthracene_a=6.0_b=7.2_theta=65.0_Rt=2.2_A2=2.0_cx=0.0_cy=1.1_cz=11.2.log
0.0,1.1,11.3,6.0,7.2,65.0,2.2,2.0,-5.572748764709104,-1.0067180580226704,-0.1150960017112083,-0.1435441676294431,-2.097895824466832,-0.0557994442060589,-0.0557994442060589,-2.097895824466832,3,Done,anthracene_a=6.0_b=7.2_theta=65.0_Rt=2.2_A2=2.0_cx=0.0_cy=1.1_cz=11.3.log
0.0,1.1,11.4,6.0,7.2,65.0,2.2,2.0,-5.43928805552423,-1.0082843229174614,-0.1059525534510612,-0.1351719291415065,-2.042263298062608,-0.0526763269444927,-0.0526763269444927,-2.042263298062608,3,Done,anthracene_a=6.0_b=7.2_theta=65.0_Rt=2.2_A2=2.0_cx=0.0_cy=1.1_cz=11.4.log
0.0,1.0,11.2,5.9,7.3,65.0,2.2,3.0,-5.532188401091844,-0.8641013503074646,-0.145869719563052,-0.1538001910084858,-2.123743588977959,-0.0604649811284616,-0.0604649811284616,-2.123743588977959,3,Done,anthracene_a=5.9_b=7.3_theta=65.0_Rt=2.2_A2=3.0_cx=0.0_cy=1.0_cz=11.2.log
0.0,1.0,11.3,5.9,7.3,65.0,2.2,3.0,-5.453108335495926,-0.952215049532242,-0.1337135959183797,-0.1446711756289005,-2.054243091319222,-0.05701116588898,-0.05701116588898,-2.054243091319222,3,Done,anthracene_a=5.9_b=7.3_theta=65.0_Rt=2.2_A2=3.0_cx=0.0_cy=1.0_cz=11.3.log
0.0,1.0,11.4,5.9,7.3,65.0,2.2,3.0,-5.299060905701481,-0.9768536019837484,-0.1226807150524109,-0.1360604832880199,-1.977965485828463,-0.0537675668601878,-0.0537675668601878,-1.977965485828463,3,Done,anthracene_a=5.9_b=7.3_theta=65.0_Rt=2.2_A2=3.0_cx=0.0_cy=1.0_cz=11.4.log
0.0,1.1,11.2,5.9,7.3,65.0,2.2,3.0,-5.696017456706613,-0.9533483325503768,-0.1409814168000593,-0.1541227311827242,-2.1645367590826936,-0.0592457290040329,-0.0592457290040329,-2.1645367590826936,3,Done,anthracene_a=5.9_b=7.3_theta=65.0_Rt=2.2_A2=3.0_cx=0.0_cy=1.1_cz=11.2.log
